sira_no,unvan,adi_soyadi,yili,alan,calistigi_kurum
1,Doç. Dr.,Sercan KARAV,2024,Moleküler Biyoloji,Çanakkale Onsekiz Mart Üniversitesi
2,Doç. Dr.,Ercan KILIÇARSLAN,2024,Matematiksel Fizik,Uşak Üniversitesi
3,Doç. Dr.,Yeşim MOĞULKOÇ,2024,Fizik / Hesaplamalı Fizik,Ankara Üniversitesi
4,Dr. Öğr. Üyesi,Nur MUSTAFAOĞLU,2024,Biyomühendislik,Sabancı Üniversitesi
5,Dr. Öğr. Üyesi,Ece ÖZTÜRK,2024,Biyomühendislik / Doku Mühendisliği,Koç Üniversitesi
6,Dr. Öğr. Üyesi,Şener SAĞLAM,2024,Analitik Kimya,İstanbul Üniversitesi-Cerrahpaşa
7,Doç. Dr.,Erhan ZOR,2024,Kimya / Analitik Kimya,Necmettin Erbakan Üniversitesi
8,Prof. Dr.,Tuğrul ÇETİNKAYA,2024,Elektrokimyasal Enerji Depolama,Sakarya Üniversitesi
9,Doç. Dr.,Ömer EKMEKCİOĞLU,2024,İnşaat Mühendisliği,İstanbul Teknik Üniversitesi
10,Doç. Dr.,Bilge COŞKUNER FİLİZ,2024,Malzeme Bilimi Ve Mühendisliği,Yıldız Teknik Üniversitesi
11,Dr.Öğr. Üyesi,Morteza GHORBANİ,2024,Makine Mühendisliği,Sabancı Üniversitesi
12,Dr. Öğr. Üyesi,Hüseyin Enis KARAHAN,2024,Kimya-Biyoloji Mühendisliği//Biyomühendislik,İTÜ / Fransa Ulusal Bilimsel Araştırma Merkezi
13,Prof. Dr.,Ali MARDANİ,2024,Yapı Malzemesi,Uludağ Üniversitesi
14,Doç. Dr.,Ayça BAL ÖZTÜRK,2024,Biyomühendislik,İstinye Üniversitesi
15,Doç. Dr.,Furkan Türker SARICAOĞLU,2024,Gıda Bilimi Ve Mühendisliği,Bursa Teknik Üniversitesi
16,Doç. Dr.,Erkan ER,2024,Eğitim Teknolojileri / Yapay Zeka,ODTÜ
17,Doç. Dr.,Mustafa ÖZTÜRK,2024,Eğitim Bilimleri,Boğaziçi Üniversitesi
18,Dr. Öğr. Üyesi,Kenan TEKİN,2024,Felsefe Tarihi,Boğaziçi Üniversitesi
19,Doç. Dr.,Ayşenur DAL TOKDEMİR,2024,İletişim,Bilkent Üniversitesi
20,Dr. Öğr. Gör.,Yunus AKKOÇ,2024,Moleküler Biyoloji / Genetik,Koç Üniversitesi
21,Doç. Dr.,Semih ÇALAMAK,2024,Nanaoteknoloji Ve Nanotıp,Lokman Hekim Üniversitesi
