sira_no,unvan,adi_soyadi,yili,alan,calistigi_kurum,scholar_id,scholar_isim,scholar_kurum,toplam_atif,h_indeksi,i10_indeksi,yillik_atif,toplam_yayin,yillik_yayin,eslesme_skoru,eslesme_notlari,odul_aninda_atif,odul_aninda_yayin,genel_alan,ilgi_alanlari,scholar_name,scholar_affiliation
28,Prof. Dr.,Merve GÜDÜL BACANLI,2025,Farmasötik Toksikoloji,Sağlık Bilimleri Üniversitesi,4WRHqoUAAAAJ,Merve GÜDÜL BACANLI,Sağlık Bilimleri Üniversitesi,2730.0,25.0,47.0,2015:23 | 2016:42 | 2017:56 | 2018:109 | 2019:179 | 2020:225 | 2021:336 | 2022:384 | 2023:391 | 2024:424 | 2025:477 | 2026:49,154.0,2012:1 | 2013:4 | 2014:8 | 2015:9 | 2016:13 | 2017:20 | 2018:12 | 2019:14 | 2020:11 | 2021:6 | 2022:4 | 2023:9 | 2024:11 | 2025:16 | 2026:1,5.0,"Matched tokens: saglik, bilimleri",2646.0,138.0,Tıp ve Sağlık Bilimleri,toxicology,Merve GÜDÜL BACANLI,Sağlık Bilimleri Üniversitesi
5,Doç. Dr.,Serap Aksu RAMAZANOĞLU,2025,Biyofotonik,Koç Üniversitesi,JNCNku4AAAAJ,serap aksu,"Engineering mid-infrared nanoantennas for surface enhanced infrared absorption spectroscopy. R Adato, S Aksu, H Altug. Materials today 18 (8), 436-446, 2015.",1508.0,14.0,14.0,2010:7 | 2011:25 | 2012:51 | 2013:101 | 2014:94 | 2015:103 | 2016:100 | 2017:154 | 2018:159 | 2019:126 | 2020:127 | 2021:90 | 2022:98 | 2023:108 | 2024:89 | 2025:67 | 2026:7,46.0,2009:1 | 2010:4 | 2011:15 | 2012:3 | 2013:4 | 2015:3 | 2016:1 | 2019:1 | 2020:4 | 2021:1 | 2022:1 | 2023:3 | 2024:2 | 2025:3,1.0,"Affiliation mismatch? 'Koç Üniversitesi' vs 'Engineering mid-infrared nanoantennas for surface enhanced infrared absorption spectroscopy. R Adato, S Aksu, H Altug. Materials today 18 (8), 436-446, 2015.'",1499.0,46.0,Fizik ve Astronomi,,serap aksu,"Engineering mid-infrared nanoantennas for surface enhanced infrared absorption spectroscopy. R Adato, S Aksu, H Altug. Materials today 18 (8), 436-446, 2015."
6,Doç. Dr.,Naci SALDI,2025,Uygulamalı Matematik,İ. D. Bilkent Üniversitesi,MpbUescAAAAJ,Naci Saldi,"Associate Professor, Bilkent University",1200.0,20.0,26.0,2014:7 | 2015:16 | 2016:17 | 2017:10 | 2018:41 | 2019:52 | 2020:70 | 2021:103 | 2022:121 | 2023:198 | 2024:286 | 2025:248 | 2026:12,72.0,2010:1 | 2013:2 | 2014:4 | 2015:4 | 2016:5 | 2017:2 | 2018:7 | 2019:9 | 2020:4 | 2021:4 | 2022:2 | 2023:6 | 2024:11 | 2025:9,5.0,Matched tokens: bilkent,1169.0,70.0,Matematik ve İstatistik,"Stochastic Control, Information Theory, Mean Field Game Theory, Reinforcement ...",Naci Saldi,"Associate Professor, Bilkent University"
7,Doç. Dr.,Muhammed ÜÇÜNCÜ,2025,Organik Kimya,Dokuz Eylül Üniversitesi / İBG,TNEnsX4AAAAJ,Muhammed üçüncü,Dokuz Eylül Üniversitesi,1554.0,23.0,31.0,2011:4 | 2012:9 | 2013:5 | 2014:37 | 2015:91 | 2016:116 | 2017:98 | 2018:129 | 2019:86 | 2020:82 | 2021:162 | 2022:171 | 2023:176 | 2024:143 | 2025:211 | 2026:30,50.0,2011:3 | 2013:3 | 2014:3 | 2015:4 | 2016:7 | 2017:2 | 2019:1 | 2020:8 | 2021:5 | 2022:2 | 2023:2 | 2024:6 | 2025:4,5.0,Matched tokens: eylul,1520.0,50.0,Kimya,Organic/Analytic Chemistry,Muhammed üçüncü,Dokuz Eylül Üniversitesi
8,Doç. Dr.,Emrah Şefik ABAMOR,2025,Hücre Kültürü ve Doku Mühendisliği,Yıldız Teknik Üniversitesi,oGwAc9cAAAAJ,Emrah Sefik ABAMOR,Yildiz Technical University,2933.0,25.0,44.0,2012:18 | 2013:39 | 2014:78 | 2015:98 | 2016:86 | 2017:158 | 2018:182 | 2019:202 | 2020:243 | 2021:303 | 2022:348 | 2023:338 | 2024:380 | 2025:383 | 2026:36,107.0,2010:1 | 2011:3 | 2012:4 | 2013:4 | 2014:3 | 2015:2 | 2016:2 | 2017:4 | 2018:12 | 2019:3 | 2020:5 | 2021:3 | 2022:10 | 2023:9 | 2024:23 | 2025:8 | 2026:3,5.0,Matched tokens: yildiz,2856.0,96.0,Biyoloji ve Yaşam Bilimleri,"Cell culture, Microbiology, Parasitology, Tissue engineering",Emrah Sefik ABAMOR,Yildiz Technical University
9,Prof. Dr.,Egemen AVCU,2025,Malzeme Tasarım ve Davranışları,Kocaeli Üniversitesi,Rz51hMMAAAAJ,Egemen Avcu,Kocaeli University,3460.0,26.0,48.0,2012:15 | 2013:40 | 2014:63 | 2015:73 | 2016:123 | 2017:115 | 2018:175 | 2019:216 | 2020:297 | 2021:344 | 2022:342 | 2023:398 | 2024:459 | 2025:693 | 2026:75,80.0,2011:2 | 2012:3 | 2013:5 | 2014:4 | 2015:2 | 2016:2 | 2017:3 | 2018:6 | 2019:2 | 2020:3 | 2021:4 | 2022:6 | 2023:13 | 2024:11 | 2025:13 | 2026:1,5.0,Matched tokens: kocaeli,3353.0,79.0,Malzeme Bilimi ve Nanoteknoloji,"Materials Science and Engineering, Tribology, Surface Engineering, Biomaterials, Mechanical ...",Egemen Avcu,Kocaeli University
10,Prof. Dr.,Mehmet DÖRDÜNCÜ,2025,Katı Cisimler Mekaniği / Peridinamik / Kırılma Mekaniği,İzmir Yüksek Teknoloji Enstitüsü,IiIdyowAAAAJ,Mehmet Dorduncu,"Professor, Izmir Institute of Technology",1821.0,22.0,34.0,2018:15 | 2019:57 | 2020:133 | 2021:197 | 2022:255 | 2023:313 | 2024:380 | 2025:423 | 2026:38,65.0,2013:1 | 2015:4 | 2016:2 | 2017:2 | 2018:7 | 2019:17 | 2020:4 | 2021:10 | 2022:2 | 2023:6 | 2024:5 | 2025:5,5.0,Matched tokens: izmir,1773.0,65.0,Makine Mühendisliği,"Peridynamics, Computational mechanics, Continuum Mechanics, Composite structures",Mehmet Dorduncu,"Professor, Izmir Institute of Technology"
11,Doç. Dr.,Hümeyra İSPİRLİ,2025,Gıda Bilimi ve Mühendisliği,Bayburt Üniversitesi,TCXNthQAAAAJ,Hümeyra İspirli,Assoc. Prof. Dr. at Bayburt University,1297.0,21.0,31.0,2017:17 | 2018:31 | 2019:51 | 2020:85 | 2021:168 | 2022:189 | 2023:243 | 2024:246 | 2025:246 | 2026:11,57.0,2015:3 | 2016:1 | 2017:3 | 2018:3 | 2019:5 | 2020:8 | 2021:6 | 2022:7 | 2023:7 | 2024:2 | 2025:6,5.0,Matched tokens: bayburt,1276.0,51.0,Gıda ve Tarım Bilimleri,"Lactic Acid Bacteria (LAB), Exopolysaccharides (EPS), Prebiotic ...",Hümeyra İspirli,Assoc. Prof. Dr. at Bayburt University
12,Prof. Dr.,Çağrı KOÇ,2025,Yöneylem Araştırması / Lojistik / Matematiksel Optimizasyon,Hacettepe Üniversitesi,Qcl_w7MAAAAJ,Çağrı Koç,Professor,3165.0,24.0,33.0,2015:27 | 2016:87 | 2017:160 | 2018:205 | 2019:275 | 2020:309 | 2021:307 | 2022:419 | 2023:405 | 2024:468 | 2025:439 | 2026:29,49.0,2011:1 | 2012:1 | 2014:2 | 2015:2 | 2016:7 | 2017:1 | 2018:7 | 2019:4 | 2020:3 | 2021:5 | 2022:4 | 2023:5 | 2024:6 | 2026:1,1.0,Affiliation mismatch? 'Hacettepe Üniversitesi' vs 'Professor',3101.0,48.0,Endüstri Mühendisliği,"Hacettepe University, Operations Research, Vehicle Routing, Transportation, Logistics, Metaheuristics",Çağrı Koç,Professor
4,Dr. Öğr. Üyesi,Emre Ozan POLAT,2025,Deneysel Katı Hal Fiziği,İ. D. Bilkent Üniversitesi,wA0sfJIAAAAJ,Emre Ozan Polat,Assistant Professor of Physics,3137.0,17.0,21.0,2012:14 | 2013:24 | 2014:37 | 2015:106 | 2016:178 | 2017:197 | 2018:270 | 2019:315 | 2020:359 | 2021:368 | 2022:347 | 2023:286 | 2024:275 | 2025:317 | 2026:28,43.0,2011:1 | 2013:1 | 2014:4 | 2015:14 | 2016:3 | 2017:3 | 2018:3 | 2019:4 | 2021:1 | 2022:1 | 2023:2 | 2024:1 | 2025:2,1.0,Affiliation mismatch? 'İ. D. Bilkent Üniversitesi' vs 'Assistant Professor of Physics',3093.0,40.0,Fizik ve Astronomi,"Photonics, Applied Physics, Materials Science, Sensors, Capacitors",Emre Ozan Polat,Assistant Professor of Physics
